asset,name,kind,image_route,prompt,references,edit_source,mask,crop,requires,style_id,scene_state,seed
LOOK,画风对照：夜书房灯灭,style,t2i,夜，室内书房。北墙木窗，窗外是天井；书案靠北窗，案上一盏油灯；东侧木床挂青色床帐；南墙木门。中年道者张天师坐在案旁，抬右手对着油灯虚划一道，口微张低念；中年文士举人在床帐边探身张望，神情惊疑。摄影机位于书房东南角，朝西北，两人全身可见，油灯在画面中景。,,,,,,,,
CHAR-TS,角色主参考：张天师,character,t2i,角色设定图，全身像。中年道者张天师，清瘦面容，三缕长须，高道髻插木簪，青灰色素面道袍，深色衣缘，白袜黑布鞋，自然比例。全身正面站立，双手自然垂下，人物立于纯净的浅米色素面背景前，背景素净平坦如宣纸底色，画面中只有人物与素色背景，五官清楚。,,,,,LOOK,char_sheet,,
CHAR-GUI,角色主参考：水鬼小孩,character,t2i,角色设定图，全身像。七八岁男孩，瘦小，皮肤偏白，头发微湿贴额，额头正中一道竖向朱红印记，旧灰布短衫长裤，赤脚，神情乖顺，眼睛干净。全身正面站立，双手自然垂下，人物立于纯净的浅米色素面背景前，背景素净平坦如宣纸底色，画面中只有人物与素色背景，五官清楚。,,,,,LOOK,char_sheet,,
CHAR-JR,角色主参考：举人,character,t2i,角色设定图，全身像。中年举人文士，微胖，蓄短须，头戴黑色方巾，深蓝素面直裰，黑布鞋，自然比例。全身正面站立，双手自然垂下，人物立于纯净的浅米色素面背景前，背景素净平坦如宣纸底色，画面中只有人物与素色背景，五官清楚。,,,,,LOOK,char_sheet,,
CHAR-QI,角色主参考：举人妻子,character,t2i,角色设定图，全身像。中年妇人，面相温和，圆发髻插素银簪，藕色右衽素面袄裙，深色裙腰，绣鞋，自然比例。全身正面站立，双手自然垂下，人物立于纯净的浅米色素面背景前，背景素净平坦如宣纸底色，画面中只有人物与素色背景，五官清楚。,,,,,LOOK,char_sheet,,
ROOM-A,场景主参考：书房夜景,location,t2i,场景设定图，画面中只有书房建筑与家具陈设。南方旧宅书房，夜。北墙木窗，窗外是天井；书案靠北窗，案上一盏油灯；东侧木床挂青色床帐；南墙木门，西墙素墙。房间空寂，桌面与地面整洁，气氛安静。摄影机位于东南角，朝西北，窗与书案在画面中景，床帐在画面右侧。,,,,,LOOK,empty_scene,,
ROOM-B,场景主参考：天井院落白天,location,t2i,场景设定图，画面中只有院落建筑与陈设。南方旧宅天井院落，白天，日光充足。石板地，北面堂屋木门木窗，东西两侧院墙，墙头外可见远处河沿与屋檐，檐下水缸，墙角青苔。院落空寂，气氛安静。摄影机位于天井南侧，朝北。,,,,,LOOK,empty_scene,,
PROP-DENG,道具：油灯,prop,t2i,静物画面，画面中只有一盏黄铜油灯，陶制灯盏，单芯，灯焰小而稳，摆在素净的米白色台面上，背景素净平坦如空白宣纸，四分之三视角，柔和定向光，独立的主体，轮廓清楚。,,,,,LOOK,empty_scene,,
PROP-PEN,道具：木盆清水,prop,t2i,静物画面，画面中只有一只矮木盆，盛大半盆清水，水面平静，摆在素净的米白色台面上，背景素净平坦如空白宣纸，四分之三视角，柔和定向光，独立的主体，轮廓清楚。,,,,,LOOK,empty_scene,,
PROP-PEN-CUT,道具：木盆清水（裁切版）,prop,crop,,,PROP-PEN,,"{""x"":100,""y"":0,""width"":790,""height"":720}",,,,
