shot,act,duration,mode,size,sfx,narr,dialogue,speaker,vis,beat,prev_end,next_goal,axis,anchor,director,first_prompt,last_prompt,h3_prompt,style_override,first_image,last_image,image_route,references,edit_source,mask,crop,requires,scene_state,seed
S01T,一致性对照,4,first,全身中景,,,,,摄影机西南望东北。修书人站在桌旁，全身可见，双手垂下。,,独立对照镜头，参照已审核资产。,,,,,青年女修书人，圆脸，齐下巴黑色短发，灰蓝交领布衣，米白腰带，木褐布鞋，自然比例，衣服无花纹。小修书室，北墙中央木书架，东墙一扇方窗，西墙为素墙，南墙入口；长方木桌靠东窗，铜茶壶在桌面靠窗一侧。摄影机西南望东北。修书人站在桌旁，全身可见，双手垂下。,,本轮仅审核静帧，不提交视频生成。,,s01t_approved.png,,t2i,[],,,,LOOK;CHAR;ROOM-A;POT,,12345
S01R,一致性对照,4,first,全身中景,,,,,摄影机西南望东北。修书人站在桌旁，全身可见，双手垂下。,,独立对照镜头，参照已审核资产。,,,,,摄影机西南望东北。修书人站在桌旁，全身可见，双手垂下。,,本轮仅审核静帧，不提交视频生成。,,s01r_approved.png,,edit,"[{""asset"": ""ROOM-A"", ""purpose"": ""场景机位与空间""}, {""asset"": ""CHAR"", ""purpose"": ""人物身份、造型""}, {""asset"": ""POT"", ""purpose"": ""茶壶形状，开合状态以当前镜头为准""}]",,,,LOOK;CHAR;ROOM-A;POT,,12345
S02T,一致性对照,4,first,面部近景,,,,,修书人面部近景，视线朝右，短发与衣领清楚，背景是虚化的同一房间。,,独立对照镜头，参照已审核资产。,,,,,青年女修书人，圆脸，齐下巴黑色短发，灰蓝交领布衣，米白腰带，木褐布鞋，自然比例，衣服无花纹。小修书室，北墙中央木书架，东墙一扇方窗，西墙为素墙，南墙入口；长方木桌靠东窗，铜茶壶在桌面靠窗一侧。修书人面部近景，视线朝右，短发与衣领清楚，背景是虚化的同一房间。,,本轮仅审核静帧，不提交视频生成。,,s02t_approved.png,,t2i,[],,,,LOOK;CHAR;ROOM-A;POT,,12345
S02R,一致性对照,4,first,面部近景,,,,,修书人面部近景，视线朝右，短发与衣领清楚，背景是虚化的同一房间。,,独立对照镜头，参照已审核资产。,,,,,修书人面部近景，视线朝右，短发与衣领清楚，背景是虚化的同一房间。,,本轮仅审核静帧，不提交视频生成。,,s02r_approved.png,,edit,"[{""asset"": ""ROOM-A"", ""purpose"": ""场景机位与空间""}, {""asset"": ""CHAR"", ""purpose"": ""人物身份、造型""}, {""asset"": ""POT"", ""purpose"": ""茶壶形状，开合状态以当前镜头为准""}]",,,,LOOK;CHAR;ROOM-A;POT,,12345
S03T,一致性对照,4,first,侧面,,,,,修书人朝左的侧面中景，在桌旁看着茶壶。,,独立对照镜头，参照已审核资产。,,,,,青年女修书人，圆脸，齐下巴黑色短发，灰蓝交领布衣，米白腰带，木褐布鞋，自然比例，衣服无花纹。小修书室，北墙中央木书架，东墙一扇方窗，西墙为素墙，南墙入口；长方木桌靠东窗，铜茶壶在桌面靠窗一侧。修书人朝左的侧面中景，在桌旁看着茶壶。,,本轮仅审核静帧，不提交视频生成。,,s03t_approved.png,,t2i,[],,,,LOOK;CHAR-SIDE;ROOM-A;POT,,12345
S03R,一致性对照,4,first,侧面,,,,,修书人朝左的侧面中景，在桌旁看着茶壶。,,独立对照镜头，参照已审核资产。,,,,,修书人朝左的侧面中景，在桌旁看着茶壶。,,本轮仅审核静帧，不提交视频生成。,,s03r_approved.png,,edit,"[{""asset"": ""ROOM-A"", ""purpose"": ""场景机位与空间""}, {""asset"": ""CHAR-SIDE"", ""purpose"": ""人物身份、造型""}, {""asset"": ""POT"", ""purpose"": ""茶壶形状，开合状态以当前镜头为准""}]",,,,LOOK;CHAR-SIDE;ROOM-A;POT,,12345
S04T,一致性对照,4,first,同机位动作变化,,,,,摄影机西南望东北，与全身镜相同。修书人抬起右手，停在壶柄旁，尚未接触。,,独立对照镜头，参照已审核资产。,,,,,青年女修书人，圆脸，齐下巴黑色短发，灰蓝交领布衣，米白腰带，木褐布鞋，自然比例，衣服无花纹。小修书室，北墙中央木书架，东墙一扇方窗，西墙为素墙，南墙入口；长方木桌靠东窗，铜茶壶在桌面靠窗一侧。摄影机西南望东北，与全身镜相同。修书人抬起右手，停在壶柄旁，尚未接触。,,本轮仅审核静帧，不提交视频生成。,,s04t_approved.png,,t2i,[],,,,LOOK;CHAR;ROOM-A;POT,,12345
S04R,一致性对照,4,first,同机位动作变化,,,,,摄影机西南望东北，与全身镜相同。修书人抬起右手，停在壶柄旁，尚未接触。,,独立对照镜头，参照已审核资产。,,,,,摄影机西南望东北，与全身镜相同。修书人抬起右手，停在壶柄旁，尚未接触。,,本轮仅审核静帧，不提交视频生成。,,s04r_approved.png,,edit,"[{""asset"": ""ROOM-A"", ""purpose"": ""场景机位与空间""}, {""asset"": ""CHAR"", ""purpose"": ""人物身份、造型""}, {""asset"": ""POT"", ""purpose"": ""茶壶形状，开合状态以当前镜头为准""}]",,,,LOOK;CHAR;ROOM-A;POT,,12345
S05T,一致性对照,4,first,不同机位,,,,,摄影机东北望西南。修书人仍在木桌同一侧，南墙入口在背景可见。,,独立对照镜头，参照已审核资产。,,,,,青年女修书人，圆脸，齐下巴黑色短发，灰蓝交领布衣，米白腰带，木褐布鞋，自然比例，衣服无花纹。小修书室，北墙中央木书架，东墙一扇方窗，西墙为素墙，南墙入口；长方木桌靠东窗，铜茶壶在桌面靠窗一侧。摄影机东北望西南。修书人仍在木桌同一侧，南墙入口在背景可见。,,本轮仅审核静帧，不提交视频生成。,,s05t_approved.png,,t2i,[],,,,LOOK;CHAR;ROOM-B;POT,,12345
S05R,一致性对照,4,first,不同机位,,,,,摄影机东北望西南。修书人仍在木桌同一侧，南墙入口在背景可见。,,独立对照镜头，参照已审核资产。,,,,,摄影机东北望西南。修书人仍在木桌同一侧，南墙入口在背景可见。,,本轮仅审核静帧，不提交视频生成。,,s05r_approved.png,,edit,"[{""asset"": ""ROOM-B"", ""purpose"": ""场景机位与空间""}, {""asset"": ""CHAR"", ""purpose"": ""人物身份、造型""}, {""asset"": ""POT"", ""purpose"": ""茶壶形状，开合状态以当前镜头为准""}]",,,,LOOK;CHAR;ROOM-B;POT,,12345
S06T,一致性对照,4,first,道具状态变化,,,,,同一茶壶放在同一桌面，圆形壶盖已取下放在壶旁，修书人站在桌后，双手离开茶壶。,,独立对照镜头，参照已审核资产。,,,,,青年女修书人，圆脸，齐下巴黑色短发，灰蓝交领布衣，米白腰带，木褐布鞋，自然比例，衣服无花纹。小修书室，北墙中央木书架，东墙一扇方窗，西墙为素墙，南墙入口；长方木桌靠东窗，铜茶壶在桌面靠窗一侧。同一茶壶放在同一桌面，圆形壶盖已取下放在壶旁，修书人站在桌后，双手离开茶壶。,,本轮仅审核静帧，不提交视频生成。,,s06t_approved.png,,t2i,[],,,,LOOK;CHAR;ROOM-A;POT,,12345
S06R,一致性对照,4,first,道具状态变化,,,,,同一茶壶放在同一桌面，圆形壶盖已取下放在壶旁，修书人站在桌后，双手离开茶壶。,,独立对照镜头，参照已审核资产。,,,,,同一茶壶放在同一桌面，圆形壶盖已取下放在壶旁，修书人站在桌后，双手离开茶壶。,,本轮仅审核静帧，不提交视频生成。,,s06r_approved.png,,edit,"[{""asset"": ""ROOM-A"", ""purpose"": ""场景机位与空间""}, {""asset"": ""CHAR"", ""purpose"": ""人物身份、造型""}, {""asset"": ""POT"", ""purpose"": ""茶壶形状，开合状态以当前镜头为准""}]",,,,LOOK;CHAR;ROOM-A;POT,,12345
